Nama,Spek,Harga,Qty
"Advan Soulmate X1","AMD Athlon Silver 3020e | Radeon Vega 3 Graphics | 4 GB RAM | 128 GB SSD | 14 Inch FHD",2400000,1
"Huawei Matebook D15","AMD Ryzen 7 5700U | Radeon Graphics | 8 GB RAM | 512 GB SSD | 15 Inch FHD",6800000,1
"HP Elitebook 630 G9","Intel Core I7 Gen 12 | Intel UHD Graphics | 16 GB RAM | 512 GB SSD | 14 Inch FHD | 13.3 Inch FHD",7000000,1
"Asus Vivobook X513EA","Intel Core I5 Gen 11 | Intel Iris Xe Graphics | 8 GB RAM | 256 GB SSD | 15 Inch FHD Oled",5700000,1
"HP 14 EP0090TU","Intel Core I3 N305 | Intel UHD Graphics | 8 GB RAM | 512 GB SSD | 14 Inch FHD",5000000,1
"Asus Rog Strix G513GT","Intel Core I7 Gen 9 | Nvidia GTX 1650 4GB | 16 GB RAM | 512 GB SSD | 15 Inch FHD 144Hz",9000000,1
"Asus Rog Strix G513QE","AMD Ryzen 7 5800H | Nvidia RTX 3050Ti 4GB | 16 GB RAM | 512 GB SSD | 15 Inch FHD 144Hz",12300000,1
"Asus Rog Strix G614JI","Intel Core I9 Gen 13 | Nvidia RTX 4070 8GB | 32 GB RAM | 1 TB SSD | 15 Inch WQXGA 240Hz",19000000,1
"Asus Tuf Gaming FX505DT","AMD Ryzen 7 3750H | Nvidia GTX 1650 4GB | 8 GB RAM | 256 GB SSD & 1 TB HDD | 15 Inch FHD",8000000,1
"Asus Tuf Gaming FA506ICB","AMD Ryzen 7 4800H | Nvidia RTX 3050 4GB | 16 GB RAM | 512 GB SSD | 15 Inch FHD 120Hz",10800000,1
"Asus Tuf Gaming FX505GM","Intel Core I5 Gen 8 | Nvidia GTX 1060 6GB | 12 GB RAM | 512 GB SSD | 15 Inch FHD",7500000,1
